common_key,full_fips,county,state,population,unemployment_rate,poverty_rate,disability_rate,homeownership_rate,Cost Per Meal ($),insecurity_rate,region,food_insecure_population,annual_budget_shortfall
autauga alabama,1001,Autauga County,AL,59947,0.0215384615384615,0.110418227107248,0.162,0.7709999999999999,3.82,0.1379015437072986,S,8267,5989548
baldwin alabama,1003,Baldwin County,AL,246989,0.023076923076923,0.0944529064542397,0.132,0.7759999999999999,4.21,0.1270137495581922,S,31371,25039030
barbour alabama,1005,Barbour County,AL,24643,0.0353846153846153,0.2032461936225222,0.1939999999999999,0.682,3.62,0.1877446593596004,S,4627,3177338
bibb alabama,1007,Bibb County,AL,22130,0.0253846153846153,0.2143900105734857,0.206,0.792,3.53,0.1814104065873203,S,4015,2685156
blount alabama,1009,Blount County,AL,59518,0.0223076923076923,0.1242748145283217,0.175,0.81,3.53,0.1426607768849412,S,8491,5678621
bullock alabama,1011,Bullock County,AL,10058,0.033076923076923,0.319553728714034,0.17,0.6659999999999999,3.96,0.2216812225484439,S,2230,1673366
butler alabama,1013,Butler County,AL,18630,0.033076923076923,0.209645724552243,0.1889999999999999,0.6579999999999999,3.56,0.1895217651667293,S,3531,2382550
calhoun alabama,1015,Calhoun County,AL,116090,0.03,0.16025333726676,0.208,0.703,3.75,0.1722751079725643,S,20000,14211600
chambers alabama,1017,Chambers County,AL,34192,0.0223076923076923,0.1516202283048975,0.2019999999999999,0.718,3.53,0.1636174542587644,S,5595,3741831
cherokee alabama,1019,Cherokee County,AL,25443,0.0269230769230769,0.1393959237128591,0.211,0.8109999999999999,3.56,0.1568610620572846,S,3992,2693612
chilton alabama,1021,Chilton County,AL,45992,0.0223076923076923,0.1369275575022358,0.176,0.769,3.73,0.1499704875522807,S,6898,4874121
choctaw alabama,1023,Choctaw County,AL,12380,0.04,0.1596495704686569,0.233,0.8240000000000001,3.59,0.1730336573955941,S,2143,1458791
clarke alabama,1025,Clarke County,AL,22543,0.0476923076923076,0.1912012743628185,0.205,0.708,3.52,0.1897392846269173,S,4278,2852530
clay alabama,1027,Clay County,AL,14192,0.0253846153846153,0.1680119581464872,0.211,0.794,3.56,0.1668608931815568,S,2369,1598488
cleburne alabama,1029,Cleburne County,AL,15426,0.0238461538461538,0.1311187630814934,0.2,0.785,3.79,0.1523656601122866,S,2351,1689291
coffee alabama,1031,Coffee County,AL,54920,0.0253846153846153,0.1613991375179684,0.175,0.723,4.0,0.1625784367328886,S,8929,6771308
colbert alabama,1033,Colbert County,AL,58022,0.03,0.1626158544207725,0.183,0.713,3.85,0.1673994636676964,S,9713,7095193
conecuh alabama,1035,Conecuh County,AL,11275,0.0384615384615384,0.2673578966857989,0.186,0.743,3.52,0.2045301293919929,S,2307,1538286
coosa alabama,1037,Coosa County,AL,10300,0.0292307692307692,0.1272988800986335,0.258,0.816,3.81,0.1628573820389002,S,1678,1212393
covington alabama,1039,Covington County,AL,37628,0.0269230769230769,0.1852648035958569,0.208,0.763,3.59,0.1749035301784399,S,6582,4480524
crenshaw alabama,1041,Crenshaw County,AL,13122,0.0284615384615384,0.1780602862397057,0.174,0.732,3.99,0.16868832272389,S,2214,1674580
cullman alabama,1043,Cullman County,AL,90566,0.0223076923076923,0.144885350391753,0.184,0.7659999999999999,3.93,0.1544094747916004,S,13985,10410674
dale alabama,1045,Dale County,AL,49599,0.0307692307692307,0.1775280419669893,0.2,0.619,3.58,0.1827441560868866,S,9064,6152039
dallas alabama,1047,Dallas County,AL,36858,0.0461538461538461,0.2910019869429464,0.216,0.638,3.61,0.2293134288958274,S,8453,5787807
dekalb alabama,1049,DeKalb County,AL,72269,0.0223076923076923,0.2061562677626688,0.17,0.7829999999999999,3.6,0.1707724193587445,S,12342,8426057
elmore alabama,1051,Elmore County,AL,89526,0.02,0.097404169794416,0.152,0.77,3.9,0.1309641843717461,S,11725,8658278
escambia alabama,1053,Escambia County,AL,36629,0.0346153846153846,0.200976353928299,0.213,0.7090000000000001,3.52,0.1884822264272722,S,6904,4603523
etowah alabama,1055,Etowah County,AL,103105,0.0276923076923076,0.1582730882802158,0.1889999999999999,0.7390000000000001,3.82,0.1642381268474932,S,16934,12268902
fayette alabama,1057,Fayette County,AL,16053,0.0253846153846153,0.19436327034223,0.2319999999999999,0.784,3.47,0.1804775288305434,S,2898,1903518
