County,Population,Poverty,Poverty_Ugstudents,
"Autauga County, Alabama",,,,
    Estimate,"57,409","6,473",134,
"Baldwin County, Alabama",,,,
    Estimate,"237,007","23,381",995,
"Barbour County, Alabama",,,,
    Estimate,"20,886","4,398",153,
"Bibb County, Alabama",,,,
    Estimate,"19,861","4,411",153,
"Blount County, Alabama",,,,
    Estimate,"56,882","7,218",149,
"Bullock County, Alabama",,,,
    Estimate,"8,515","2,820",99,
"Butler County, Alabama",,,,
    Estimate,"17,811","3,951",217,
"Calhoun County, Alabama",,,,
    Estimate,"108,472","19,001","1,618",
"Chambers County, Alabama",,,,
    Estimate,"32,588","5,073",132,
"Cherokee County, Alabama",,,,
    Estimate,"24,434","3,457",51,
"Chilton County, Alabama",,,,
    Estimate,"43,607","6,065",94,
"Choctaw County, Alabama",,,,
    Estimate,"11,757","1,898",21,
"Clarke County, Alabama",,,,
    Estimate,"21,344","4,125",44,
"Clay County, Alabama",,,,
    Estimate,"13,380","2,366",118,
"Cleburne County, Alabama",,,,
    Estimate,"14,811","1,944",2,
"Coffee County, Alabama",,,,
    Estimate,"52,175","8,736",315,
"Colbert County, Alabama",,,,
    Estimate,"55,997","9,622",516,
"Conecuh County, Alabama",,,,
    Estimate,"10,802","2,917",29,
"Coosa County, Alabama",,,,
    Estimate,"9,733","1,252",13,
"Covington County, Alabama",,,,
    Estimate,"35,819","6,808",172,
"Crenshaw County, Alabama",,,,
    Estimate,"12,507","2,244",17,
"Cullman County, Alabama",,,,
    Estimate,"86,917","13,003",410,
"Dale County, Alabama",,,,
    Estimate,"46,894","8,622",297,
"Dallas County, Alabama",,,,
    Estimate,"35,230","10,516",264,
"DeKalb County, Alabama",,,,
    Estimate,"68,613","14,804",659,
"Elmore County, Alabama",,,,
    Estimate,"82,594","8,217",172,
"Escambia County, Alabama",,,,
    Estimate,"32,775","6,648",61,
"Etowah County, Alabama",,,,
    Estimate,"98,210","16,379",835,
"Fayette County, Alabama",,,,
    Estimate,"15,399","3,327",334,
"Franklin County, Alabama",,,,
    Estimate,"30,550","5,661",181,
"Geneva County, Alabama",,,,
    Estimate,"26,008","4,918",159,
"Greene County, Alabama",,,,
    Estimate,"7,214","2,846",24,
"Hale County, Alabama",,,,
    Estimate,"14,231","3,514",76,
"Henry County, Alabama",,,,
    Estimate,"16,842","3,104",88,
"Houston County, Alabama",,,,
    Estimate,"103,106","17,322",688,
"Jackson County, Alabama",,,,
    Estimate,"50,812","8,557",262,
"Jefferson County, Alabama",,,,
    Estimate,"627,072","97,934","5,704",
"Lamar County, Alabama",,,,
    Estimate,"13,106","2,370",101,
"Lauderdale County, Alabama",,,,
    Estimate,"90,157","10,749","1,562",
"Lawrence County, Alabama",,,,
    Estimate,"31,850","4,151",96,
"Lee County, Alabama",,,,
    Estimate,"168,222","31,597","11,170",
"Limestone County, Alabama",,,,
    Estimate,"104,033","10,346",350,
"Lowndes County, Alabama",,,,
    Estimate,"9,373","2,711",76,
"Macon County, Alabama",,,,
    Estimate,"15,610","3,725",404,
"Madison County, Alabama",,,,
    Estimate,"380,912","38,538","3,976",
"Marengo County, Alabama",,,,
    Estimate,"18,076","3,905",133,
"Marion County, Alabama",,,,
    Estimate,"27,703","4,313",292,
"Marshall County, Alabama",,,,
    Estimate,"93,891","14,984",395,
"Mobile County, Alabama",,,,
    Estimate,"389,078","61,327","2,726",
"Monroe County, Alabama",,,,
    Estimate,"18,763","3,734",111,
"Montgomery County, Alabama",,,,
    Estimate,"208,927","40,495","2,030",
"Morgan County, Alabama",,,,
    Estimate,"117,845","15,161",410,
"Perry County, Alabama",,,,
    Estimate,"7,095","2,140",35,
"Pickens County, Alabama",,,,
    Estimate,"16,547","3,252",175,
"Pike County, Alabama",,,,
    Estimate,"29,442","6,700","1,542",
"Randolph County, Alabama",,,,
    Estimate,"21,175","4,156",54,
"Russell County, Alabama",,,,
    Estimate,"56,194","12,243",514,
"St. Clair County, Alabama",,,,
    Estimate,"88,969","9,762",348,
"Shelby County, Alabama",,,,
    Estimate,"219,361","15,706",947,
"Sumter County, Alabama",,,,
    Estimate,"9,334","2,394",118,
"Talladega County, Alabama",,,,
    Estimate,"74,914","13,209",421,
"Tallapoosa County, Alabama",,,,
    Estimate,"38,969","6,314",133,
"Tuscaloosa County, Alabama",,,,
    Estimate,"214,854","35,826","10,572",
"Walker County, Alabama",,,,
    Estimate,"61,494","11,106",259,
"Washington County, Alabama",,,,
    Estimate,"14,667","2,477",0,
"Wilcox County, Alabama",,,,
    Estimate,"9,750","2,726",113,
"Winston County, Alabama",,,,
    Estimate,"22,480","4,113",42,
"Aleutians East Borough, Alaska",,,,
    Estimate,"3,391",442,13,
"Aleutians West Census Area, Alaska",,,,
    Estimate,"5,021",554,8,
"Anchorage Municipality, Alaska",,,,
    Estimate,"272,508","23,755","1,033",
"Bethel Census Area, Alaska",,,,
    Estimate,"17,006","4,244",26,
"Bristol Bay Borough, Alaska",,,,
    Estimate,868,83,0,
"Chugach Census Area, Alaska",,,,
    Estimate,"6,386",383,32,
