"County, State",Cost Per Meal
"Autauga County, Alabama",$3.64 
"Baldwin County, Alabama",$4.01 
"Barbour County, Alabama",$3.45 
"Bibb County, Alabama",$3.36 
"Blount County, Alabama",$3.36 
"Bullock County, Alabama",$3.77 
"Butler County, Alabama",$3.39 
"Calhoun County, Alabama",$3.57 
"Chambers County, Alabama",$3.36 
"Cherokee County, Alabama",$3.39 
"Chilton County, Alabama",$3.55 
"Choctaw County, Alabama",$3.42 
"Clarke County, Alabama",$3.35 
"Clay County, Alabama",$3.39 
"Cleburne County, Alabama",$3.61 
"Coffee County, Alabama",$3.81 
"Colbert County, Alabama",$3.67 
"Conecuh County, Alabama",$3.35 
"Coosa County, Alabama",$3.63 
"Covington County, Alabama",$3.42 
"Crenshaw County, Alabama",$3.80 
"Cullman County, Alabama",$3.74 
"Dale County, Alabama",$3.41 
"Dallas County, Alabama",$3.44 
"DeKalb County, Alabama",$3.43 
"Elmore County, Alabama",$3.71 
"Escambia County, Alabama",$3.35 
"Etowah County, Alabama",$3.64 
"Fayette County, Alabama",$3.30 
"Franklin County, Alabama",$3.23 
"Geneva County, Alabama",$3.73 
"Greene County, Alabama",$3.93 
"Hale County, Alabama",$3.93 
"Henry County, Alabama",$3.73 
"Houston County, Alabama",$3.70 
"Jackson County, Alabama",$3.61 
"Jefferson County, Alabama",$3.92 
"Lamar County, Alabama",$3.30 
"Lauderdale County, Alabama",$3.54 
"Lawrence County, Alabama",$3.31 
"Lee County, Alabama",$4.03 
"Limestone County, Alabama",$3.94 
"Lowndes County, Alabama",$3.71 
"Macon County, Alabama",$3.98 
"Madison County, Alabama",$3.75 
"Marengo County, Alabama",$3.49 
"Marion County, Alabama",$3.30 
"Marshall County, Alabama",$3.46 
"Mobile County, Alabama",$3.64 
"Monroe County, Alabama",$3.40 
"Montgomery County, Alabama",$3.66 
"Morgan County, Alabama",$3.63 
"Perry County, Alabama",$3.49 
"Pickens County, Alabama",$3.70 
"Pike County, Alabama",$3.80 
"Randolph County, Alabama",$3.41 
"Russell County, Alabama",$3.54 
"St. Clair County, Alabama",$3.77 
"Shelby County, Alabama",$4.04 
"Sumter County, Alabama",$3.42 
"Talladega County, Alabama",$3.60 
"Tallapoosa County, Alabama",$3.63 
"Tuscaloosa County, Alabama",$4.00 
"Walker County, Alabama",$3.43 
"Washington County, Alabama",$3.35 
"Wilcox County, Alabama",$3.46 
"Winston County, Alabama",$3.26 
"Aleutians East Borough, Alaska",$4.71 
"Aleutians West Census Area, Alaska",$4.71 
"Anchorage Municipality, Alaska",$4.45 
"Bethel Census Area, Alaska",$4.99 
"Bristol Bay Borough, Alaska",$4.71 
"Chugach Census Area, Alaska",$4.45 
"Copper River Census Area, Alaska",$4.61 
"Denali Borough, Alaska",$4.43 
"Dillingham Census Area, Alaska",$4.99 
"Fairbanks North Star Borough, Alaska",$4.43 
"Haines Borough, Alaska",$4.52 
"Hoonah-Angoon Census Area, Alaska",$4.57 
"Juneau City and Borough, Alaska",$4.50 
"Kenai Peninsula Borough, Alaska",$4.85 
"Ketchikan Gateway Borough, Alaska",$4.40 
"Kodiak Island Borough, Alaska",$4.71 
"Kusilvak Census Area, Alaska",$4.71 
"Lake and Peninsula Borough, Alaska",$4.71 
"Matanuska-Susitna Borough, Alaska",$4.61 
"Nome Census Area, Alaska",$4.65 
"North Slope Borough, Alaska",$4.43 
"Northwest Arctic Borough, Alaska",$4.43 
"Petersburg Borough, Alaska",$4.55 
"Prince of Wales-Hyder Census Area, Alaska",$4.29 
"Sitka City and Borough, Alaska",$4.55 
"Skagway Municipality, Alaska",$4.50 
"Southeast Fairbanks Census Area, Alaska",$4.43 
"Wrangell City and Borough, Alaska",$4.59 
"Yakutat City and Borough, Alaska",$4.50 
"Yukon-Koyukuk Census Area, Alaska",$4.43 
"Apache County, Arizona",$3.61 
"Cochise County, Arizona",$3.38 
"Coconino County, Arizona",$3.84 
"Gila County, Arizona",$3.50 
"Graham County, Arizona",$3.41 
"Greenlee County, Arizona",$3.41 
"La Paz County, Arizona",$3.54 
"Maricopa County, Arizona",$3.58 
"Mohave County, Arizona",$3.54 
"Navajo County, Arizona",$3.48 
"Pima County, Arizona",$3.51 
"Pinal County, Arizona",$3.44 
"Santa Cruz County, Arizona",$2.94 
"Yavapai County, Arizona",$3.81 
"Yuma County, Arizona",$3.19 
"Arkansas County, Arkansas",$3.16 
"Ashley County, Arkansas",$3.18 
"Baxter County, Arkansas",$3.52 
"Benton County, Arkansas",$3.54 
"Boone County, Arkansas",$3.44 
"Bradley County, Arkansas",$3.29 
"Calhoun County, Arkansas",$3.24 
"Carroll County, Arkansas",$3.47 
"Chicot County, Arkansas",$3.41 
"Clark County, Arkansas",$3.33 
"Clay County, Arkansas",$3.13 
"Cleburne County, Arkansas",$3.46 
"Cleveland County, Arkansas",$3.18 
"Columbia County, Arkansas",$3.37 
"Conway County, Arkansas",$3.24 
"Craighead County, Arkansas",$3.35 
"Crawford County, Arkansas",$3.33 
"Crittenden County, Arkansas",$3.37 
"Cross County, Arkansas",$3.12 
"Dallas County, Arkansas",$3.26 
"Desha County, Arkansas",$3.37 
"Drew County, Arkansas",$3.20 
"Faulkner County, Arkansas",$3.49 
"Franklin County, Arkansas",$3.21 
"Fulton County, Arkansas",$3.29 
"Garland County, Arkansas",$3.48 
"Grant County, Arkansas",$3.65 
"Greene County, Arkansas",$3.20 
"Hempstead County, Arkansas",$3.41 
"Hot Spring County, Arkansas",$3.21 
"Howard County, Arkansas",$3.41 
"Independence County, Arkansas",$3.32 
"Izard County, Arkansas",$3.49 
"Jackson County, Arkansas",$3.34 
"Jefferson County, Arkansas",$3.17 
"Johnson County, Arkansas",$3.22 
"Lafayette County, Arkansas",$3.36 
"Lawrence County, Arkansas",$3.40 
"Lee County, Arkansas",$3.06 
"Lincoln County, Arkansas",$3.19 
"Little River County, Arkansas",$3.34 
"Logan County, Arkansas",$3.21 
"Lonoke County, Arkansas",$3.51 
"Madison County, Arkansas",$3.47 
"Marion County, Arkansas",$3.54 
"Miller County, Arkansas",$3.42 
"Mississippi County, Arkansas",$3.24 
"Monroe County, Arkansas",$3.03 
"Montgomery County, Arkansas",$3.53 
"Nevada County, Arkansas",$3.35 
"Newton County, Arkansas",$3.44 
"Ouachita County, Arkansas",$3.27 
"Perry County, Arkansas",$3.27 
"Phillips County, Arkansas",$3.25 
"Pike County, Arkansas",$3.35 
"Poinsett County, Arkansas",$3.09 
"Polk County, Arkansas",$3.34 
"Pope County, Arkansas",$3.31 
"Prairie County, Arkansas",$3.51 
"Pulaski County, Arkansas",$3.59 
"Randolph County, Arkansas",$3.20 
"St. Francis County, Arkansas",$3.12 
"Saline County, Arkansas",$3.62 
"Scott County, Arkansas",$3.21 
"Searcy County, Arkansas",$3.53 
"Sebastian County, Arkansas",$3.30 
"Sevier County, Arkansas",$3.38 
"Sharp County, Arkansas",$3.33 
"Stone County, Arkansas",$3.46 
"Union County, Arkansas",$3.34 
"Van Buren County, Arkansas",$3.46 
"Washington County, Arkansas",$3.59 
"White County, Arkansas",$3.31 
"Woodruff County, Arkansas",$3.32 
"Yell County, Arkansas",$3.14 
"Alameda County, California",$4.35 
"Alpine County, California",$3.92 
"Amador County, California",$4.38 
"Butte County, California",$4.01 
"Calaveras County, California",$4.59 
"Colusa County, California",$3.93 
"Contra Costa County, California",$4.31 
"Del Norte County, California",$3.85 
"El Dorado County, California",$4.77 
"Fresno County, California",$3.51 
"Glenn County, California",$3.49 
"Humboldt County, California",$4.41 
"Imperial County, California",$3.06 
"Inyo County, California",$3.48 
"Kern County, California",$3.46 
"Kings County, California",$3.41 
"Lake County, California",$4.16 
"Lassen County, California",$4.11 
"Los Angeles County, California",$3.82 
"Madera County, California",$4.15 
"Marin County, California",$5.27 
"Mariposa County, California",$4.15 
"Mendocino County, California",$4.23 
"Merced County, California",$3.59 
"Modoc County, California",$4.11 
"Mono County, California",$4.23 
"Monterey County, California",$3.76 
"Napa County, California",$4.61 
"Nevada County, California",$5.05 
"Orange County, California",$3.96 
"Placer County, California",$4.39 
"Plumas County, California",$4.11 
"Riverside County, California",$3.55 
"Sacramento County, California",$3.79 
"San Benito County, California",$4.56 
"San Bernardino County, California",$3.40 
"San Diego County, California",$3.84 
"San Francisco County, California",$4.97 
"San Joaquin County, California",$3.77 
"San Luis Obispo County, California",$4.41 
"San Mateo County, California",$4.64 
"Santa Barbara County, California",$3.82 
"Santa Clara County, California",$4.31 
"Santa Cruz County, California",$4.88 
"Shasta County, California",$3.91 
"Sierra County, California",$5.05 
"Siskiyou County, California",$3.83 
"Solano County, California",$3.81 
"Sonoma County, California",$4.56 
"Stanislaus County, California",$3.80 
"Sutter County, California",$3.62 
"Tehama County, California",$3.66 
"Trinity County, California",$3.91 
"Tulare County, California",$3.48 
"Tuolumne County, California",$4.23 
"Ventura County, California",$3.96 
"Yolo County, California",$3.95 
"Yuba County, California",$3.44 
"Adams County, Colorado",$3.67 
"Alamosa County, Colorado",$4.23 
"Arapahoe County, Colorado",$3.90 
"Archuleta County, Colorado",$4.46 
"Baca County, Colorado",$3.10 
