"Label (Grouping)","Total"
"Autauga County, Alabama",""
"    Estimate","59,947"
"    Margin of Error","*****"
"Baldwin County, Alabama",""
"    Estimate","246,989"
"    Margin of Error","*****"
"Barbour County, Alabama",""
"    Estimate","24,643"
"    Margin of Error","*****"
"Bibb County, Alabama",""
"    Estimate","22,130"
"    Margin of Error","*****"
"Blount County, Alabama",""
"    Estimate","59,518"
"    Margin of Error","*****"
"Bullock County, Alabama",""
"    Estimate","10,058"
"    Margin of Error","*****"
"Butler County, Alabama",""
"    Estimate","18,630"
"    Margin of Error","*****"
"Calhoun County, Alabama",""
"    Estimate","116,090"
"    Margin of Error","*****"
"Chambers County, Alabama",""
"    Estimate","34,192"
"    Margin of Error","*****"
"Cherokee County, Alabama",""
"    Estimate","25,443"
"    Margin of Error","*****"
"Chilton County, Alabama",""
"    Estimate","45,992"
"    Margin of Error","*****"
"Choctaw County, Alabama",""
"    Estimate","12,380"
"    Margin of Error","*****"
"Clarke County, Alabama",""
"    Estimate","22,543"
"    Margin of Error","*****"
"Clay County, Alabama",""
"    Estimate","14,192"
"    Margin of Error","*****"
"Cleburne County, Alabama",""
"    Estimate","15,426"
"    Margin of Error","*****"
"Coffee County, Alabama",""
"    Estimate","54,920"
"    Margin of Error","*****"
"Colbert County, Alabama",""
"    Estimate","58,022"
"    Margin of Error","*****"
"Conecuh County, Alabama",""
"    Estimate","11,275"
"    Margin of Error","*****"
"Coosa County, Alabama",""
"    Estimate","10,300"
"    Margin of Error","*****"
"Covington County, Alabama",""
"    Estimate","37,628"
"    Margin of Error","*****"
"Crenshaw County, Alabama",""
"    Estimate","13,122"
"    Margin of Error","*****"
"Cullman County, Alabama",""
"    Estimate","90,566"
"    Margin of Error","*****"
"Dale County, Alabama",""
"    Estimate","49,599"
"    Margin of Error","*****"
"Dallas County, Alabama",""
"    Estimate","36,858"
"    Margin of Error","*****"
"DeKalb County, Alabama",""
"    Estimate","72,269"
"    Margin of Error","*****"
"Elmore County, Alabama",""
"    Estimate","89,526"
"    Margin of Error","*****"
"Escambia County, Alabama",""
"    Estimate","36,629"
"    Margin of Error","*****"
"Etowah County, Alabama",""
"    Estimate","103,105"
"    Margin of Error","*****"
"Fayette County, Alabama",""
"    Estimate","16,053"
"    Margin of Error","*****"
"Franklin County, Alabama",""
"    Estimate","31,966"
"    Margin of Error","*****"
"Geneva County, Alabama",""
"    Estimate","26,887"
"    Margin of Error","*****"
"Greene County, Alabama",""
"    Estimate","7,424"
"    Margin of Error","*****"
"Hale County, Alabama",""
"    Estimate","14,829"
"    Margin of Error","*****"
"Henry County, Alabama",""
"    Estimate","17,647"
"    Margin of Error","*****"
"Houston County, Alabama",""
"    Estimate","108,140"
"    Margin of Error","*****"
"Jackson County, Alabama",""
"    Estimate","53,053"
"    Margin of Error","*****"
"Jefferson County, Alabama",""
"    Estimate","667,755"
"    Margin of Error","*****"
"Lamar County, Alabama",""
"    Estimate","13,693"
"    Margin of Error","*****"
"Lauderdale County, Alabama",""
"    Estimate","95,830"
"    Margin of Error","*****"
"Lawrence County, Alabama",""
"    Estimate","33,276"
"    Margin of Error","*****"
"Lee County, Alabama",""
"    Estimate","181,134"
"    Margin of Error","*****"
"Limestone County, Alabama",""
"    Estimate","111,233"
"    Margin of Error","*****"
"Lowndes County, Alabama",""
"    Estimate","9,833"
"    Margin of Error","*****"
"Macon County, Alabama",""
"    Estimate","18,691"
"    Margin of Error","*****"
"Madison County, Alabama",""
"    Estimate","405,718"
"    Margin of Error","*****"
