County,Total civilian noninstitutionalized population
"Autauga County, Alabama",
    Total,
        Estimate,"58,355"
    With a disability,
        Estimate,"9,473"
    Percent with a disability,
        Estimate,16.20%
"Baldwin County, Alabama",
    Total,
        Estimate,"243,859"
    With a disability,
        Estimate,"32,207"
    Percent with a disability,
        Estimate,13.20%
"Barbour County, Alabama",
    Total,
        Estimate,"21,581"
    With a disability,
        Estimate,"4,196"
    Percent with a disability,
        Estimate,19.40%
"Bibb County, Alabama",
    Total,
        Estimate,"20,552"
    With a disability,
        Estimate,"4,226"
    Percent with a disability,
        Estimate,20.60%
"Blount County, Alabama",
    Total,
        Estimate,"59,093"
    With a disability,
        Estimate,"10,313"
    Percent with a disability,
        Estimate,17.50%
"Bullock County, Alabama",
    Total,
        Estimate,"8,769"
    With a disability,
        Estimate,"1,489"
    Percent with a disability,
        Estimate,17.00%
"Butler County, Alabama",
    Total,
        Estimate,"18,380"
    With a disability,
        Estimate,"3,474"
    Percent with a disability,
        Estimate,18.90%
"Calhoun County, Alabama",
    Total,
        Estimate,"114,485"
    With a disability,
        Estimate,"23,803"
    Percent with a disability,
        Estimate,20.80%
"Chambers County, Alabama",
    Total,
        Estimate,"33,666"
    With a disability,
        Estimate,"6,811"
    Percent with a disability,
        Estimate,20.20%
"Cherokee County, Alabama",
    Total,
        Estimate,"25,193"
    With a disability,
        Estimate,"5,318"
    Percent with a disability,
        Estimate,21.10%
"Chilton County, Alabama",
    Total,
        Estimate,"45,696"
    With a disability,
        Estimate,"8,064"
    Percent with a disability,
        Estimate,17.60%
"Choctaw County, Alabama",
    Total,
        Estimate,"12,267"
    With a disability,
        Estimate,"2,853"
    Percent with a disability,
        Estimate,23.30%
"Clarke County, Alabama",
    Total,
        Estimate,"22,234"
    With a disability,
        Estimate,"4,562"
    Percent with a disability,
        Estimate,20.50%
"Clay County, Alabama",
    Total,
        Estimate,"13,951"
    With a disability,
        Estimate,"2,942"
    Percent with a disability,
        Estimate,21.10%
"Cleburne County, Alabama",
    Total,
        Estimate,"15,204"
    With a disability,
        Estimate,"3,044"
    Percent with a disability,
        Estimate,20.00%
"Coffee County, Alabama",
    Total,
        Estimate,"52,676"
    With a disability,
        Estimate,"9,222"
    Percent with a disability,
        Estimate,17.50%
"Colbert County, Alabama",
    Total,
        Estimate,"57,670"
    With a disability,
        Estimate,"10,536"
    Percent with a disability,
        Estimate,18.30%
"Conecuh County, Alabama",
    Total,
        Estimate,"11,184"
    With a disability,
        Estimate,"2,079"
    Percent with a disability,
        Estimate,18.60%
"Coosa County, Alabama",
    Total,
        Estimate,"9,971"
    With a disability,
        Estimate,"2,577"
    Percent with a disability,
        Estimate,25.80%
"Covington County, Alabama",
    Total,
        Estimate,"37,128"
    With a disability,
        Estimate,"7,733"
    Percent with a disability,
        Estimate,20.80%
"Crenshaw County, Alabama",
    Total,
        Estimate,"12,934"
    With a disability,
        Estimate,"2,251"
    Percent with a disability,
        Estimate,17.40%
"Cullman County, Alabama",
    Total,
        Estimate,"89,754"
    With a disability,
        Estimate,"16,496"
    Percent with a disability,
        Estimate,18.40%
"Dale County, Alabama",
    Total,
        Estimate,"47,185"
    With a disability,
        Estimate,"9,442"
    Percent with a disability,
        Estimate,20.00%
"Dallas County, Alabama",
    Total,
        Estimate,"36,567"
    With a disability,
        Estimate,"7,887"
    Percent with a disability,
        Estimate,21.60%
"DeKalb County, Alabama",
    Total,
        Estimate,"71,520"
    With a disability,
        Estimate,"12,160"
    Percent with a disability,
        Estimate,17.00%
"Elmore County, Alabama",
    Total,
        Estimate,"84,814"
    With a disability,
        Estimate,"12,925"
    Percent with a disability,
        Estimate,15.20%
"Escambia County, Alabama",
    Total,
        Estimate,"34,155"
    With a disability,
        Estimate,"7,267"
    Percent with a disability,
        Estimate,21.30%
"Etowah County, Alabama",
    Total,
        Estimate,"101,952"
    With a disability,
        Estimate,"19,227"
    Percent with a disability,
        Estimate,18.90%
"Fayette County, Alabama",
    Total,
        Estimate,"15,867"
    With a disability,
        Estimate,"3,678"
    Percent with a disability,
        Estimate,23.20%
"Franklin County, Alabama",
    Total,
        Estimate,"31,655"
    With a disability,
        Estimate,"5,288"
    Percent with a disability,
        Estimate,16.70%
"Geneva County, Alabama",
    Total,
        Estimate,"26,560"
    With a disability,
        Estimate,"6,117"
    Percent with a disability,
        Estimate,23.00%
"Greene County, Alabama",
    Total,
        Estimate,"7,347"
    With a disability,
        Estimate,"1,849"
    Percent with a disability,
        Estimate,25.20%
"Hale County, Alabama",
    Total,
        Estimate,"14,629"
    With a disability,
        Estimate,"3,570"
    Percent with a disability,
        Estimate,24.40%
"Henry County, Alabama",
    Total,
        Estimate,"17,452"
    With a disability,
        Estimate,"3,958"
    Percent with a disability,
        Estimate,22.70%
"Houston County, Alabama",
    Total,
        Estimate,"107,023"
    With a disability,
        Estimate,"18,320"
    Percent with a disability,
        Estimate,17.10%
"Jackson County, Alabama",
    Total,
        Estimate,"52,544"
    With a disability,
        Estimate,"11,370"
    Percent with a disability,
        Estimate,21.60%
"Jefferson County, Alabama",
    Total,
        Estimate,"660,402"
    With a disability,
        Estimate,"101,828"
    Percent with a disability,
        Estimate,15.40%
"Lamar County, Alabama",
    Total,
        Estimate,"13,593"
    With a disability,
        Estimate,"3,072"
    Percent with a disability,
        Estimate,22.60%
"Lauderdale County, Alabama",
    Total,
        Estimate,"94,802"
    With a disability,
        Estimate,"16,021"
    Percent with a disability,
        Estimate,16.90%
"Lawrence County, Alabama",
    Total,
        Estimate,"33,044"
    With a disability,
        Estimate,"6,475"
    Percent with a disability,
        Estimate,19.60%
"Lee County, Alabama",
    Total,
        Estimate,"179,575"
    With a disability,
        Estimate,"23,449"
    Percent with a disability,
        Estimate,13.10%
"Limestone County, Alabama",
    Total,
        Estimate,"108,206"
    With a disability,
        Estimate,"16,001"
    Percent with a disability,
        Estimate,14.80%
"Lowndes County, Alabama",
    Total,
        Estimate,"9,661"
    With a disability,
        Estimate,"2,028"
    Percent with a disability,
        Estimate,21.00%
"Macon County, Alabama",
    Total,
        Estimate,"18,551"
    With a disability,
        Estimate,"3,205"
    Percent with a disability,
        Estimate,17.30%
"Madison County, Alabama",
    Total,
        Estimate,"401,432"
    With a disability,
        Estimate,"55,505"
    Percent with a disability,
        Estimate,13.80%
"Marengo County, Alabama",
    Total,
        Estimate,"18,650"
    With a disability,
        Estimate,"4,080"
    Percent with a disability,
        Estimate,21.90%
"Marion County, Alabama",
    Total,
        Estimate,"28,568"
    With a disability,
        Estimate,"7,657"
    Percent with a disability,
        Estimate,26.80%
"Marshall County, Alabama",
    Total,
        Estimate,"98,736"
    With a disability,
        Estimate,"16,093"
    Percent with a disability,
        Estimate,16.30%
"Mobile County, Alabama",
    Total,
        Estimate,"408,063"
    With a disability,
        Estimate,"58,983"
    Percent with a disability,
        Estimate,14.50%
"Monroe County, Alabama",
    Total,
        Estimate,"19,106"
    With a disability,
        Estimate,"3,422"
    Percent with a disability,
        Estimate,17.90%
"Montgomery County, Alabama",
    Total,
        Estimate,"220,084"
    With a disability,
        Estimate,"36,248"
    Percent with a disability,
        Estimate,16.50%
"Morgan County, Alabama",
    Total,
        Estimate,"122,480"
    With a disability,
        Estimate,"22,068"
    Percent with a disability,
        Estimate,18.00%
"Perry County, Alabama",
    Total,
        Estimate,"7,873"
    With a disability,
        Estimate,"1,814"
    Percent with a disability,
        Estimate,23.00%
"Pickens County, Alabama",
    Total,
        Estimate,"17,089"
    With a disability,
        Estimate,"3,786"
    Percent with a disability,
        Estimate,22.20%
"Pike County, Alabama",
    Total,
        Estimate,"32,752"
    With a disability,
        Estimate,"4,992"
    Percent with a disability,
        Estimate,15.20%
"Randolph County, Alabama",
    Total,
        Estimate,"22,279"
