"Label (Grouping)","HOUSING TENURE!!Occupied housing units!!Owner-occupied"
"Autauga County, Alabama",""
"    Estimate","17,660"
"    Percent","77.1%"
"Baldwin County, Alabama",""
"    Estimate","76,497"
"    Percent","77.6%"
"Barbour County, Alabama",""
"    Estimate","6,229"
"    Percent","68.2%"
"Bibb County, Alabama",""
"    Estimate","6,100"
"    Percent","79.2%"
"Blount County, Alabama",""
"    Estimate","17,962"
"    Percent","81.0%"
"Bullock County, Alabama",""
"    Estimate","2,458"
"    Percent","66.6%"
"Butler County, Alabama",""
"    Estimate","5,002"
"    Percent","65.8%"
"Calhoun County, Alabama",""
"    Estimate","31,654"
"    Percent","70.3%"
"Chambers County, Alabama",""
"    Estimate","9,643"
"    Percent","71.8%"
"Cherokee County, Alabama",""
"    Estimate","8,264"
"    Percent","81.1%"
"Chilton County, Alabama",""
"    Estimate","13,738"
"    Percent","76.9%"
"Choctaw County, Alabama",""
"    Estimate","4,329"
"    Percent","82.4%"
"Clarke County, Alabama",""
"    Estimate","5,962"
"    Percent","70.8%"
"Clay County, Alabama",""
"    Estimate","4,623"
"    Percent","79.4%"
"Cleburne County, Alabama",""
"    Estimate","4,697"
"    Percent","78.5%"
"Coffee County, Alabama",""
"    Estimate","15,163"
"    Percent","72.3%"
"Colbert County, Alabama",""
"    Estimate","17,323"
"    Percent","71.3%"
"Conecuh County, Alabama",""
"    Estimate","3,283"
"    Percent","74.3%"
"Coosa County, Alabama",""
"    Estimate","3,604"
"    Percent","81.6%"
"Covington County, Alabama",""
"    Estimate","11,168"
"    Percent","76.3%"
"Crenshaw County, Alabama",""
"    Estimate","3,831"
"    Percent","73.2%"
"Cullman County, Alabama",""
"    Estimate","27,088"
"    Percent","76.6%"
"Dale County, Alabama",""
"    Estimate","12,210"
"    Percent","61.9%"
"Dallas County, Alabama",""
"    Estimate","10,178"
"    Percent","63.8%"
"DeKalb County, Alabama",""
"    Estimate","20,490"
"    Percent","78.3%"
"Elmore County, Alabama",""
"    Estimate","25,290"
"    Percent","77.0%"
"Escambia County, Alabama",""
"    Estimate","9,087"
"    Percent","70.9%"
"Etowah County, Alabama",""
"    Estimate","29,128"
"    Percent","73.9%"
"Fayette County, Alabama",""
"    Estimate","4,905"
"    Percent","78.4%"
"Franklin County, Alabama",""
"    Estimate","8,651"
"    Percent","72.4%"
"Geneva County, Alabama",""
"    Estimate","8,316"
"    Percent","78.1%"
"Greene County, Alabama",""
"    Estimate","1,987"
"    Percent","61.6%"
"Hale County, Alabama",""
"    Estimate","4,197"
"    Percent","74.4%"
"Henry County, Alabama",""
"    Estimate","5,614"
"    Percent","79.5%"
"Houston County, Alabama",""
"    Estimate","27,624"
"    Percent","63.8%"
"Jackson County, Alabama",""
"    Estimate","16,374"
"    Percent","75.1%"
"Jefferson County, Alabama",""
"    Estimate","172,419"
"    Percent","63.9%"
"Lamar County, Alabama",""
"    Estimate","3,849"
"    Percent","75.7%"
"Lauderdale County, Alabama",""
"    Estimate","27,047"
"    Percent","68.9%"
"Lawrence County, Alabama",""
"    Estimate","11,129"
"    Percent","81.7%"
"Lee County, Alabama",""
"    Estimate","46,064"
"    Percent","66.3%"
"Limestone County, Alabama",""
"    Estimate","31,777"
"    Percent","77.6%"
"Lowndes County, Alabama",""
"    Estimate","3,321"
"    Percent","77.5%"
"Macon County, Alabama",""
"    Estimate","4,454"
"    Percent","61.5%"
"Madison County, Alabama",""
"    Estimate","112,734"
"    Percent","68.3%"
"Marengo County, Alabama",""
"    Estimate","5,548"
"    Percent","70.2%"
"Marion County, Alabama",""
"    Estimate","8,148"
"    Percent","76.8%"
"Marshall County, Alabama",""
"    Estimate","27,625"
"    Percent","75.8%"
"Mobile County, Alabama",""
"    Estimate","106,752"
"    Percent","66.0%"
"Monroe County, Alabama",""
"    Estimate","5,280"
"    Percent","71.7%"
"Montgomery County, Alabama",""
"    Estimate","52,783"
"    Percent","57.8%"
"Morgan County, Alabama",""
"    Estimate","35,644"
"    Percent","72.7%"
"Perry County, Alabama",""
"    Estimate","2,667"
"    Percent","77.5%"
"Pickens County, Alabama",""
"    Estimate","5,128"
"    Percent","75.8%"
"Pike County, Alabama",""
"    Estimate","7,657"
"    Percent","61.3%"
"Randolph County, Alabama",""
"    Estimate","7,158"
"    Percent","77.2%"
"Russell County, Alabama",""
"    Estimate","14,676"
"    Percent","61.3%"
"St. Clair County, Alabama",""
"    Estimate","29,001"
"    Percent","82.6%"
"Shelby County, Alabama",""
"    Estimate","70,672"
"    Percent","81.4%"
"Sumter County, Alabama",""
"    Estimate","3,224"
"    Percent","66.8%"
"Talladega County, Alabama",""
"    Estimate","24,209"
"    Percent","72.0%"
"Tallapoosa County, Alabama",""
"    Estimate","12,989"
"    Percent","76.1%"
"Tuscaloosa County, Alabama",""
"    Estimate","55,297"
"    Percent","61.4%"
"Walker County, Alabama",""
"    Estimate","19,330"
"    Percent","76.1%"
"Washington County, Alabama",""
"    Estimate","5,116"
"    Percent","85.8%"
"Wilcox County, Alabama",""
"    Estimate","2,988"
"    Percent","77.4%"
"Winston County, Alabama",""
"    Estimate","7,140"
"    Percent","75.8%"
"Aleutians East Borough, Alaska",""
"    Estimate","671"
"    Percent","64.2%"
"Aleutians West Census Area, Alaska",""
"    Estimate","320"
"    Percent","33.5%"
"Anchorage Municipality, Alaska",""
"    Estimate","69,393"
"    Percent","63.9%"
"Bethel Census Area, Alaska",""
"    Estimate","2,972"
"    Percent","61.6%"
"Bristol Bay Borough, Alaska",""
"    Estimate","156"
"    Percent","53.6%"
"Chugach Census Area, Alaska",""
"    Estimate","1,824"
"    Percent","63.8%"
"Copper River Census Area, Alaska",""
"    Estimate","827"
"    Percent","68.5%"
"Denali Borough, Alaska",""
"    Estimate","367"
"    Percent","65.0%"
"Dillingham Census Area, Alaska",""
"    Estimate","861"
"    Percent","61.4%"
"Fairbanks North Star Borough, Alaska",""
"    Estimate","22,424"
"    Percent","61.7%"
"Haines Borough, Alaska",""
"    Estimate","707"
"    Percent","78.5%"
"Hoonah-Angoon Census Area, Alaska",""
"    Estimate","665"
"    Percent","72.0%"
"Juneau City and Borough, Alaska",""
"    Estimate","8,375"
"    Percent","63.6%"
"Kenai Peninsula Borough, Alaska",""
"    Estimate","18,771"
"    Percent","77.0%"
"Ketchikan Gateway Borough, Alaska",""
"    Estimate","3,933"
"    Percent","68.6%"
"Kodiak Island Borough, Alaska",""
"    Estimate","2,834"
"    Percent","61.1%"
"Kusilvak Census Area, Alaska",""
"    Estimate","1,338"
"    Percent","69.8%"
"Lake and Peninsula Borough, Alaska",""
"    Estimate","212"
"    Percent","65.4%"
"Matanuska-Susitna Borough, Alaska",""
"    Estimate","30,792"
"    Percent","77.2%"
"Nome Census Area, Alaska",""
"    Estimate","1,882"
"    Percent","66.8%"
"North Slope Borough, Alaska",""
"    Estimate","1,121"
"    Percent","49.1%"
"Northwest Arctic Borough, Alaska",""
"    Estimate","1,175"
"    Percent","64.4%"
"Petersburg Borough, Alaska",""
"    Estimate","901"
"    Percent","65.7%"
"Prince of Wales-Hyder Census Area, Alaska",""
"    Estimate","1,707"
"    Percent","70.6%"
"Sitka City and Borough, Alaska",""
"    Estimate","2,123"
"    Percent","61.7%"
"Skagway Municipality, Alaska",""
"    Estimate","319"
"    Percent","70.9%"
"Southeast Fairbanks Census Area, Alaska",""
"    Estimate","1,865"
"    Percent","74.7%"
"Wrangell City and Borough, Alaska",""
"    Estimate","577"
"    Percent","59.1%"
"Yakutat City and Borough, Alaska",""
"    Estimate","116"
"    Percent","56.3%"
"Yukon-Koyukuk Census Area, Alaska",""
"    Estimate","1,605"
"    Percent","69.9%"
"Apache County, Arizona",""
"    Estimate","16,761"
"    Percent","79.4%"
"Cochise County, Arizona",""
"    Estimate","36,213"
"    Percent","71.0%"
"Coconino County, Arizona",""
"    Estimate","32,909"
"    Percent","59.7%"
"Gila County, Arizona",""
"    Estimate","18,329"
"    Percent","77.5%"
